index,verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,sign_info,stem,tense,gcons_clause,subject,complement,cmpl_lex,cmpl_translation,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,cmpl_complex,motion_type,spatial_arg_type,preposition_1,preposition_2,preposition_3,preposition_4,comments,reconstructed_verse
241,217023,<LH[,MT,Isaiah,14,13,><LH,W >TH >MRT B LBBK H CMJM ><LH M M<L L KWKBJ >L >RJM KS>J W >CB B HR MW<D B JRKTJ YPWN,,qal,impf,H CMJM ><LH,,H CMJM,H CMJM/,the heavens,0.0,vc,place,inanim,det,subs,simple,fictive,goal,,,,,,
242,1900027,<LH[,1Qisaa,Isaiah,14,13,><LH,W >TH >MRTH B LBBKH H CMJM ><LH M M<LH L KWKBJ >L >RJM KS>J >CB B HR MW<D B JRKTJ YPWN,0 000 00000 0 00000 0 0000 0000 0 0000 0 00000 00 0000 0000 000 0 00 0000 0 00000 0000,qal,impf,H CMJM ><LH,,H CMJM,H CMJM/,the heavens,0.0,vc,place,inanim,det,subs,simple,fictive,goal,,,,,,W >TH >MRTH B LBBKH H CMJM ><LH M M<LH L KWKBJ >L >RJM KS>J >CB B HR MW<D B JRKTJ YPWN
243,217039,<LH[,MT,Isaiah,14,14,><LH,><LH <L BMTJ <B >DMH L <LJWN,,qal,impf,><LH <L BMTJ <B,,<L BMTJ <B,<L BMH/ <B/,above the heights of the cloud(s),0.0,prep,place,inanim,und,subs,complex,fictive,goal,<L,,,,,
244,1900043,<LH[,1Qisaa,Isaiah,14,14,><LH,><LH <L BWMTJ <B >DMH L <LJWN,0000 00 00000 00 0000 0 00000,qal,impf,><LH <L BWMTJ <B,,<L BWMTJ <B,<L BMH/ <B/,above the heights of the cloud(s),0.0,prep,place,inanim,und,subs,complex,fictive,goal,<L,,,,,><LH <L BWMTJ <B >DMH L <LJWN
245,217049,JRD[,MT,Isaiah,14,15,TWRD,>K >L C>WL TWRD >L JRKTJ BWR,,hof,impf,>K >L C>WL TWRD >L JRKTJ BWR,,>K >L C>WL >L JRKTJ BWR,>K >L C>WL/ >L JRKH/ BWR/,"but to the underworld, to the extremities of the pit",0.0,prep,topo,inanim,und,subs,complex,factive,goal,>L,>L,,,,
246,1900054,JRD[,1Qisaa,Isaiah,14,15,TWRD,>K >L C>WL TWRD >L JRKTJ BWR,00 00 0000 0000 00 00000 000,hofal,impf,>K >L C>WL TWRD >L JRKTJ BWR,,>K >L C>WL TWRD >L JRKTJ BWR,>K >L C>WL/ >L JRKH/ BWR/,"but to the underworld, to the extremities of the pit",0.0,prep,topo,inanim,und,subs,complex,factive,goal,>L,>L,,,,>K >L C>WL TWRD >L JRKTJ BWR
247,217101,JRD[,MT,Isaiah,14,19,JWRDJ,W >TH HCLKT M QBRK K NYR NT<B LBWC HRGJM MV<NJ XRB JWRDJ >L >BNJ BWR K PGR MWBS,,qal,ptca,JWRDJ >L >BNJ BWR K PGR MWBS,,>L >BNJ BWR,>L >BN/ BWR/,to stones of the pit,0.0,prep,place,inanim,und,subs,complex,factive,goal,>L,,,,,
248,1900109,JRD[,1Qisaa,Isaiah,14,19,JWRDW,W >TH HWCLKTH M QWBRK K NYR NT<B LBC HRWGJM MV<NJ XRB JWRDW >L >BNJ BWR K PGR MWBS,0 000 0000000 0 00000 0 000 0000 000 000000 00000 000 00000 01 0000 000 0 000 0000,qal,ptca,JWRDW >L >BNJ BWR K PGR MWBS,,>L >BNJ BWR,>L >BN/ BWR/,to stones of the pit,0.0,prep,place,inanim,und,subs,complex,factive,goal,>L,,,,,W >TH HWCLKTH M QWBRK K NYR NT<B LBC HRWGJM MV<NJ XRB JWRDW >[L] >BNJ BWR K PGR MWBS
261,217340,<LH[,MT,Isaiah,15,2,<LH,<LH H BJT W DJBN H BMWT L BKJ <L NBW W <L MJDB> MW>B JJLJL B KL R>CJW QRXH KL ZQN GRW<H,,qal,perf,<LH H BJT,,H BJT,H BJT/,into the house,0.0,vc,place,inanim,det,subs,simple,factive,goal,,,,,,
262,1900363,<LH[,1Qisaa,Isaiah,15,2,<LH,<LH H BJT W DJBWN H B>MWT L BKJ <L NBW W <L MJDBH MW>B JLJL B KWL R>WCW QRXH W KL ZQN GRW<H,000 0 000 0 00000 0 00000 0 000 00 000 0 00 00000 0000 0000 0 000 00000 0000 0 00 000 00000,qal,perf,<LH H BJT,,H BJT,H BJT/,into the house,0.0,vc,place,inanim,det,subs,simple,factive,goal,,,,,,<LH H BJT W DJBWN H B>MWT L BKJ <L NBW W <L MJDBH MW>B JLJL B KWL R>WCW QRXH W KL ZQN GRW<H
266,217409,<LH[,MT,Isaiah,15,5,J<LH,LBJ L MW>B JZ<Q BRJXH <D Y<R <GLT CLCJH KJ M<LH H LWXJT B BKJ J<LH BW KJ DRK XWRNJM Z<QT CBR J<<RW,,qal,impf,B BKJ J<LH BW,,BW,B,in/on it/him,0.0,prep,prps,inanim,det,prsf,simple,factive,goal,B,,,,,
267,1900437,<LH[,1Qisaa,Isaiah,15,5,J<LH,LBJ L MW>B JZ<Q BRXWH <D Y<WR <GLT CLJCJH KJ M<LH H LWXWT B BKJ J<LH BW KJ DRK XWRWNJM Z<QT CBRJ <RW,000 0 0000 0000 00000 00 0000 0000 000000 00 0000 0 00000 0 000 0000 00 00 000 0000000 0000 0000 000,qal,impf,B BKJ J<LH BW,,BW,B,in/on it/him,0.0,prep,prps,inanim,det,prsf,simple,factive,goal,B,,,,,LBJ L MW>B JZ<Q BRXWH <D Y<WR <GLT CLJCJH KJ M<LH H LWXWT B BKJ J<LH BW KJ DRK XWRWNJM Z<QT CBRJ <RW
268,1919468,<LH[,1Q8,Isaiah,15,5,J<LH,LBJ L MW>B JZ<Q BRJXH <D Y<R <GLT CLCJH KJ M<LH H LXJT B BKJ J<LH BW KJ DRK XWRNJM Z<QT CBR J<<RW,000 1 1111 1111 11111 11 111 1111 11111 11 1110 0 0000 0 000 0000 00 00 111 111111 1111 111 11111,qal,impf,B BKJ J<LH BW,,BW,B,in/on it/him,0.0,prep,prps,inanim,det,prsf,simple,factive,goal,B,,,,,LBJ [L MW>B JZ<Q BRJXH <D Y<R <GLT CLCJH KJ M<L]H H LXJT B BKJ J<LH BW KJ [DRK XWRNJM Z<QT CBR J<<RW]
275,217594,T<H[,MT,Isaiah,16,8,T<W,KJ CDMWT XCBWN >MLL GPN FBMH B<LJ GWJM HLMW FRWQJH <D J<ZR NG<W T<W MDBR CLXWTJH NVCW <BRW JM,,qal,perf,T<W MDBR,,MDBR,MDBR/,to a desert,0.0,vc,topo,inanim,und,subs,simple,factive,goal,,,,,,
282,217671,BW>[,MT,Isaiah,16,12,B>,W HJH KJ NR>H KJ NL>H MW>B <L H BMH W B> >L MQDCW L HTPLL W L> JWKL,,qal,perf,W B> >L MQDCW,,>L MQDCW,>L MQDC/,to his sanctuary,0.0,prep,place,inanim,det,subs,complex,factive,goal,>L,,,,,
283,1900688,BW>[,1Qisaa,Isaiah,16,12,B>,JHJH KJ NR>H KJ B> MW>B <L H BMH W B> >L MQDCJW L HTPLL W LW> JWKL,0000 00 0000 00 00 0000 00 0 000 0 00 00 000000 0 00000 0 000 0100,qal,perf,KJ B> MW>B <L H BMH,MW>B,<L H BMH,<L H BMH/,on the high place,0.0,prep,phen,inanim,det,subs,simple,factive,goal,<L,,,,,JHJH KJ NR>H KJ B> MW>B <L H BMH W B> >L MQDCJW L HTPLL W LW> J[W]KL
284,1900694,BW>[,1Qisaa,Isaiah,16,12,B>,JHJH KJ NR>H KJ B> MW>B <L H BMH W B> >L MQDCJW L HTPLL W LW> JWKL,0000 00 0000 00 00 0000 00 0 000 0 00 00 000000 0 00000 0 000 0100,qal,perf,W B> >L MQDCJW,,>L MQDCJW,>L MQDC/,to his sanctuary,0.0,prep,place,inanim,det,subs,complex,factive,goal,>L ,,,,,JHJH KJ NR>H KJ B> MW>B <L H BMH W B> >L MQDCJW L HTPLL W LW> J[W]KL
286,217992,HLK[,MT,Isaiah,18,2,LKW,H CLX B JM YJRJM W B KLJ GM> <L PNJ MJM LKW ML>KJM QLJM >L GWJ MMCK W MWRV >L <M NWR> MN HW> W HL>H GWJ QW QW W MBWSH >CR BZ>W NHRJM >RYW,,qal,impv,LKW >L GWJ MMCK W MWRV,,>L GWJ MMCK W MWRV,>L GWJ/ MCK[ W MRV[,to a nation tall and smooth,0.0,prep,gens,anim,und,subs,complex,factive,goal,>L,,,,,
287,1901031,HLK[,1Qisaa,Isaiah,18,2,LKW,H CWLX B JM YJRJM W B KLJ GM> <L PNJ MJM LKW ML>KJM QLJM L GWJ MMCK W MMWRV >L <M NWR> MN HW> W HL>H GWJ QWQW W MBWSH >CR BZ>J NHRJM >RYW,0 0000 0 00 00000 0 0 000 000 00 000 000 000 000000 0000 0 000 0000 0 00000 00 00 0000 00 000 0 0000 000 0000 0 00000 000 0000 00000 0000,qal,impv,LKW L GWJ MMCK W MMWRV,,L GWJ MMCK W MMWRV,L GWJ/ MCK[ W MRV[,to a nation tall and smooth,0.0,prep,gens,anim,und,subs,complex,factive,goal,L,,,,,H CWLX B JM YJRJM W B KLJ GM> <L PNJ MJM LKW ML>KJM QLJM L GWJ MMCK W MMWRV >L <M NWR> MN HW> W HL>H GWJ QWQW W MBWSH >CR BZ>J NHRJM >RYW
290,218147,BW>[,MT,Isaiah,19,1,B>,MF> MYRJM HNH JHWH RKB <L <B QL W B> MYRJM W N<W >LJLJ MYRJM M PNJW W LBB MYRJM JMS B QRBW,,qal,perf,W B> MYRJM,,MYRJM,MYRJM/,to Egypt,0.0,vc,topo,inanim,det,nmpr,simple,factive,goal,,,,,,
291,1901188,BW>[,1Qisaa,Isaiah,19,1,B>,MF> MYRJM HNH JHWH RWKB <L <B QL W B> MYRJM W N<W >LJLJ MYRJM M PNJW W LBB MYRJM JMS B QRBW,000 00000 000 0000 0000 00 00 00 0 00 00000 0 000 00000 00000 0 0000 0 000 00000 000 0 0000,qal,ptca,W B> MYRJM,,MYRJM,MYRJM/,to Egypt,0.0,vc,topo,inanim,det,nmpr,simple,factive,goal,,,,,,MF> MYRJM HNH JHWH RWKB <L <B QL W B> MYRJM W N<W >LJLJ MYRJM M PNJW W LBB MYRJM JMS B QRBW
302,218530,CWB[,MT,Isaiah,19,22,CBW,W NGP JHWH >T MYRJM NGP W RPW> W CBW <D JHWH W N<TR LHM W RP>M,,qal,perf,W CBW <D JHWH,,<D JHWH,<D JHWH/,to Yahweh,0.0,prep,pers,anim,det,nmpr,simple,fictive,goal,<D,,,,,
303,1901591,CWB[,1Qisaa,Isaiah,19,22,CBW,W NGP JHWH >T MYRJM NGP W NRPW W CBW <D JHWH W N<TR LHM W RP>M,0 000 0000 00 00000 000 0 0000 0 000 00 0000 0 0000 000 0 0000,qal,perf,W CBW <D JHWH,,<D JHWH,<D JHWH/,to Yahweh,0.0,prep,pers,anim,det,nmpr,simple,fictive,goal,<D,,,,,W NGP JHWH >T MYRJM NGP W NRPW W CBW <D JHWH W N<TR LHM W RP>M
305,218549,BW>[,MT,Isaiah,19,23,B>,B JWM H HW> THJH MSLH M MYRJM >CWRH W B> >CWR B MYRJM W MYRJM B >CWR W <BDW MYRJM >T >CWR,,qal,perf,W B> >CWR B MYRJM,>CWR,B MYRJM,B MYRJM/,in Egypt,0.0,prep,topo,inanim,det,nmpr,simple,factive,goal,B,,,,,
306,1901610,BW>[,1Qisaa,Isaiah,19,23,B>,B JWM H HW> THJH MSLH M MYRJM >CWRH W B> >CWR B MYRJM W MYRJM B >CWR W <BDW >T >CWR,0 000 0 000 0000 0000 0 00000 00000 0 00 0000 0 00000 0 00000 0 0000 0 0000 00 0000,qal,perf,W B> >CWR B MYRJM,>CWR,B MYRJM,B MYRJM/,in Egypt,0.0,prep,topo,inanim,det,nmpr,simple,factive,goal,B,,,,,B JWM H HW> THJH MSLH M MYRJM >CWRH W B> >CWR B MYRJM W MYRJM B >CWR W <BDW >T >CWR
308,218598,BW>[,MT,Isaiah,20,1,B>,B CNT B> TRTN >CDWDH B CLX >TW SRGWN MLK >CWR W JLXM B >CDWD W JLKDH,,qal,infc,B> TRTN >CDWDH,TRTN,>CDWDH,>CDWD/,to Ashdod,1.0,dir-he,topo,inanim,det,nmpr,simple,factive,goal,,,,,,
309,1901660,BW>[,1Qisaa,Isaiah,20,1,B>,B CNT B> TWRTN >CDWDH B CLX >WTW SRGWN MLK >CWR W JLXM B >CDWD W JLKWDH,0 000 00 00000 000000 0 000 0000 00000 000 0000 0 0000 0 00000 0 000000,qal,infc,B> TWRTN >CDWDH,TWRTN,>CDWDH,>CDWD/,to Ashdod,1.0,dir-he,topo,inanim,det,nmpr,simple,factive,goal,,,,,,B CNT B> TWRTN >CDWDH B CLX >WTW SRGWN MLK >CWR W JLXM B >CDWD W JLKWDH
318,218718,NWS[,MT,Isaiah,20,6,NSNW,W >MR JCB H >J H ZH B JWM H HW> HNH KH MBVNW >CR NSNW CM L <ZRH L HNYL M PNJ MLK >CWR W >JK NMLV >NXNW,,qal,perf,>CR NSNW CM L <ZRH,,CM,CM,there,0.0,dir-he,adv,inanim,det,adv,simple,factive,goal,,,,,,
343,218991,<LH[,MT,Isaiah,22,1,<LJT,MF> GJ> XZJWN MH LK >PW> KJ <LJT KLK L GGWT,,qal,perf,KJ <LJT KLK L GGWT,KLK,L GGWT,L H GG/,to the rooftops,0.0,prep,place,inanim,det,subs,simple,factive,goal,L,,,,,
344,1902075,<LH[,1Qisaa,Isaiah,22,1,<LJTJ,MF> GJ XZWWN M LKJ >PW> KJ <LJTJ KWLK L GGWT,000 00 00000 0 000 0000 00 00000 0000 0 0000,qal,perf,KJ <LJTJ KWLK L GGWT,KWLK,L GGWT,L H GG/,to the rooftops,0.0,prep,place,inanim,det,subs,simple,factive,goal,L,,,,,MF> GJ XZWWN M LKJ >PW> KJ <LJTJ KWLK L GGWT
352,219224,BW>[,MT,Isaiah,22,15,B>,KH >MR >DNJ JHWH YB>WT LK B> >L H SKN H ZH <L CBN> >CR <L H BJT,,qal,impv,B> >L H SKN H ZH <L CBN>,,>L H SKN H ZH <L CBN>,>L H SKN[ H ZH <L CBN>/,"to this steward, to Shebna",0.0,prep,pers,anim,det,subs,complex,factive,goal,>L,<L,,,,
355,1902319,BW>[,1Qisaa,Isaiah,22,15,BW>,KH >MR >DWNJ JHWH YB>WT LK BW> >L H SWKN H ZH >L CBN> >CR <L H BJT,00 000 00000 0000 00000 00 000 00 0 0000 0 00 00 0000 000 00 0 000,qal,impv,BW> >L H SWKN H ZH >L CBN,,>L H SWKN H ZH >L CBN,>L H SKN[ H ZH <L CBN>/,"to this steward, to Shebna",0.0,prep,pers,anim,det,subs,complex,factive,goal,>L,<L,,,,KH >MR >DWNJ JHWH YB>WT LK BW> >L H SWKN H ZH >L CBN> >CR <L H BJT
369,219482,<BR[,MT,Isaiah,23,6,<BRW,<BRW TRCJCH HJLJLW JCBJ >J,,qal,impv,<BRW TRCJCH,,TRCJCH,TRCJC=/,to Tarshish,1.0,dir-he,topo,inanim,det,nmpr,simple,factive,goal,,,,,,
370,1902589,<BR[,1Qisaa,Isaiah,23,6,<WBRJ,<WBRJ TLRCJCH HJLJLW JWCBJ >J,00000 0000000 000000 00000 00,qal,impv,<WBRJ TLRCJCH,,TLRCJCH,TRCJC=/,to Tarshish,1.0,dir-he,topo,inanim,det,nmpr,simple,factive,goal,,,,,,<WBRJ TLRCJCH HJLJLW JWCBJ >J
371,219527,<BR[,MT,Isaiah,23,10,<BRJ,<BRJ >RYK K J>R BT TRCJC >JN MZX <WD,,qal,impv,<BRJ >RYK K J>R,,>RYK,>RY/,to your land,0.0,vc,place,inanim,det,subs,complex,factive,goal,,,,,,
372,219565,<BR[,MT,Isaiah,23,12,<BRJ,W J>MR L> TWSJPJ <WD L <LWZ H M<CQH BTWLT BT YJDWN KTJJM QWMJ <BRJ GM CM L> JNWX LK,,qal,impv,KTJJM <BRJ,,KTJJM,KTJ/,to Cyprus,0.0,vc,topo,inanim,und,subs,simple,factive,goal,,,,,KTJ/ not a proper noun (BH),
374,1902679,<BR[,1Qisaa,Isaiah,23,12,<BRJ,W JW>MR LW> TWSJPJ <WD L <LWZ M<CQH BTWLT BT YJDWN KTJJM QWMJ <BRJ GM CM LW> JNWX LK,0 00000 000 000000 000 0 0000 00000 00000 00 00000 00000 0000 0000 00 00 000 0000 00,qal,impv,KTJJM <BRJ,,KTJJM,KTJ/,to Cyprus,0.0,vc,topo,inanim,und,subs,simple,factive,goal,,,,,KTJ/ not a proper noun (BH),W JW>MR LW> TWSJPJ <WD L <LWZ M<CQH BTWLT BT YJDWN KTJJM QWMJ <BRJ GM CM LW> JNWX LK
378,219646,CWB[,MT,Isaiah,23,17,CBH,W HJH M QY CB<JM CNH JPQD JHWH >T YR W CBH L >TNNH W ZNTH >T KL MMLKWT H >RY <L PNJ H >DMH,,qal,perf,W CBH L >TNNH,,L >TNNH,L >TNN/,to her wages,0.0,prep,occ,inanim,det,subs,complex,factive,goal,L,,,,,
379,1902749,CWB[,1Qisaa,Isaiah,23,17,CBH,W HJH M QY CB<JN CNH JPQWD JHWH >T YR W CBH L >TNNH W ZNTH >T MMLKWT H >RY <L PNJ H >DMH,0 000 0 00 00000 000 00000 0000 00 00 0 000 0 00000 0 0000 00 000000 0 000 00 000 0 0000,qal,perf,W CBH L >TNNH,,L >TNNH,L >TNN/,to her wages,0.0,prep,occ,inanim,det,subs,complex,factive,goal,L,,,,,W HJH M QY CB<JN CNH JPQWD JHWH >T YR W CBH L >TNNH W ZNTH >T MMLKWT H >RY <L PNJ H >DMH
408,220526,BW>[,MT,Isaiah,26,20,B>,LK <MJ B> B XDRJK W SGR DLTJK B<DK XBJ K M<V RG< <D J<BWR Z<M,,qal,impv,B> B XDRJK,,B XDRJK,B XDR/,in your chambers,0.0,prep,place,inanim,det,subs,complex,factive,goal,B,,,,,
411,1903652,BW>[,1Qisaa,Isaiah,26,20,B>,LK <MJ B> B XDRJK W SGR DLTJK B<DK XBW K M<V RG< <D J<BWR Z<M,00 000 00 0 00000 0 000 00000 0000 000 0 000 000 00 00000 000,qal,impv,B> B XDRJK,,B XDRJK,B XDR/,in your chambers,0.0,prep,place,inanim,det,subs,complex,factive,goal,B,,,,,LK <MJ B> B XDRJK W SGR DLTJK B<DK XBW K M<V RG< <D J<BWR Z<M
417,220632,PF<[,MT,Isaiah,27,4,>PF<H,XMH >JN LJ MJ JTNNJ CMJR CJT B MLXMH >PF<H BH >YJTNH JXD,,qal,impf,B MLXMH >PF<H BH,,BH,B,in it / in her,0.0,prep,prps,inanim,det,prsf,simple,factive,goal,B,,,,,
418,1903759,PF<[,1Qisaa,Isaiah,27,4,>PF<H,XMH >JN LJ MJ JTNNJ CJMJR W CJT B MLXMH >PF<H BH W >YJTNH JXDW,000 000 00 00 00000 00000 0 000 0 00000 00000 00 0 000000 0000,qal,impf,B MLXMH >PF<H BH,,BH,B,in it / in her,0.0,prep,prps,inanim,det,prsf,simple,factive,goal,B,,,,,XMH >JN LJ MJ JTNNJ CJMJR W CJT B MLXMH >PF<H BH W >YJTNH JXDW
428,220841,NWX[,MT,Isaiah,28,2,HNJX,HNH XZQ W >MY L >DNJ K ZRM BRD F<R QVB K ZRM MJM KBJRJM CVPJM HNJX L >RY B JD,,hif,perf,K ZRM BRD F<R QVB K ZRM MJM KBJRJM CVPJM HNJX L >RY B JD,,L >RY,L H >RY/,to the land / ground,0.0,prep,place,inanim,det,subs,simple,factive,goal,L,,,,,
430,1903982,NWX[,1Qisaa,Isaiah,28,2,HNJX,HNH B XZQ W >MY L JHWH K ZRM BRD F<R QVB K ZRM MJM KBRJM CWVPJM W HNJX L >RY B JD,000 0 000 0 000 0 0000 0 000 000 000 000 0 000 000 00000 000000 0 0000 0 000 0 00,hifil,perf,K ZRM BRD F<R QVB K ZRM MJM KBRJM CWVPJM W HNJX L >RY B JD,,L >RY,L H >RY/,to the land / ground,0.0,prep,place,inanim,det,subs,simple,factive,goal,L,,,,,HNH B XZQ W >MY L JHWH K ZRM BRD F<R QVB K ZRM MJM KBRJM CWVPJM W HNJX L >RY B JD
468,221291,SBB[,MT,Isaiah,28,27,JWSB,KJ L> B XRWY JWDC QYX W >WPN <GLH <L KMN JWSB KJ B MVH JXBV QYX W KMN B CBV,,hof,impf,W >WPN <GLH <L KMN JWSB,>WPN <GLH,<L KMN,<L KMN/,over cummin,0.0,prep,obj,inanim,und,subs,simple,factive,trajectory,<L,,,,,
469,1904447,SBB[,1Qisaa,Isaiah,28,27,JSWB,KJ LW> B XRWY JDC QYX W >PN <GLH <L KMN JSWB KJ B MVH JXBV QYX W KMN B CBV,00 000 0 0000 000 000 0 000 0000 00 000 0000 00 0 000 0000 000 0 000 0 000,qal,impf,W >PN <GLH <L KMN JSWB,W >PN <GLH ,<L KMN,<L KMN/,over cummin,0.0,prep,obj,inanim,und,subs,simple,factive,trajectory,<L,,,,,KJ LW> B XRWY JDC QYX W >PN <GLH <L KMN JSWB KJ B MVH JXBV QYX W KMN B CBV
481,221822,JRD[,MT,Isaiah,30,2,RDT,H HLKJM L RDT MYRJM W PJ L> C>LW L <WZ B M<WZ PR<H W L XSWT B YL MYRJM,,qal,infc,L RDT MYRJM,,MYRJM,MYRJM/,to Egypt,0.0,vc,topo,inanim,det,nmpr,simple,factive,goal,,,,,,
482,221829,<WZ[,MT,Isaiah,30,2,<WZ,H HLKJM L RDT MYRJM W PJ L> C>LW L <WZ B M<WZ PR<H W L XSWT B YL MYRJM,,qal,infa,L <WZ B M<WZ PR<H,,B M<WZ PR<H,B M<WZ/ PR<H/,in the protection of Pharaoh,0.0,prep,abs,inanim,det,subs,complex,fictive,goal,B,,,,,
483,221835,XSH[,MT,Isaiah,30,2,XSWT,H HLKJM L RDT MYRJM W PJ L> C>LW L <WZ B M<WZ PR<H W L XSWT B YL MYRJM,,qal,infc,W L XSWT B YL MYRJM,,B YL MYRJM,B YL/ MYRJM/,in the shadow of Egypt,0.0,prep,abs,inanim,det,subs,complex,fictive,goal,B,,,,,
485,1905005,JRD[,1Qisaa,Isaiah,30,2,RDT,H HWLKJM L RDT MYRJM W PJ LW> C>LW L <WZ B M<WZ PR<WH W L XSWT B YL MYRJM,0 000000 0 000 00000 0 00 000 0000 0 000 0 0000 00000 0 0 0000 0 00 00000,qal,infc,L RDT MYRJM,,MYRJM,MYRJM/,to Egypt,0.0,vc,topo,inanim,det,nmpr,simple,factive,goal,,,,,,H HWLKJM L RDT MYRJM W PJ LW> C>LW L <WZ B M<WZ PR<WH W L XSWT B YL MYRJM
486,1905012,<WZ[,1Qisaa,Isaiah,30,2,<WZ,H HWLKJM L RDT MYRJM W PJ LW> C>LW L <WZ B M<WZ PR<WH W L XSWT B YL MYRJM,0 000000 0 000 00000 0 00 000 0000 0 000 0 0000 00000 0 0 0000 0 00 00000,qal,infc,L <WZ B M<WZ PR<WH,,B M<WZ PR<WH,B M<WZ/ PR<H/,in the protection of Pharaoh,0.0,prep,abs,inanim,det,subs,complex,fictive,goal,B,,,,,H HWLKJM L RDT MYRJM W PJ LW> C>LW L <WZ B M<WZ PR<WH W L XSWT B YL MYRJM
487,1905018,XSH[,1Qisaa,Isaiah,30,2,XSWT,H HWLKJM L RDT MYRJM W PJ LW> C>LW L <WZ B M<WZ PR<WH W L XSWT B YL MYRJM,0 000000 0 000 00000 0 00 000 0000 0 000 0 0000 00000 0 0 0000 0 00 00000,qal,infc,W L XSWT B YL MYRJM,,B YL MYRJM,B YL/ MYRJM/,in the shadow of Egypt,0.0,prep,abs,inanim,det,subs,complex,fictive,goal,B,,,,,H HWLKJM L RDT MYRJM W PJ LW> C>LW L <WZ B M<WZ PR<WH W L XSWT B YL MYRJM
505,222193,HLK[,MT,Isaiah,30,21,LKW,W >ZNJK TCM<NH DBR M >XRJK L >MR ZH H DRK LKW BW KJ T>MJNW W KJ TFM>JLW,,qal,impv,LKW BW,,BW,B,in/on it/him,0.0,prep,prps,inanim,det,prsf,simple,fictive,trajectory,B,,,,,
506,1905399,HLK[,1Qisaa,Isaiah,30,21,LKW,W >WZNJK TCM<NH DBR M >XRJK L >MWR ZH H DRK LKW BW KJ TJ>MJNW W KJ TFM>JLW,0 000000 000000 000 0 00000 0 0000 00 0 000 000 00 00 0000000 0 00 0000000,qal,impv,LKW BW,,BW,B,in/on it/him,0.0,prep,prps,inanim,det,prsf,simple,fictive,trajectory,B,,,,,W >WZNJK TCM<NH DBR M >XRJK L >MWR ZH H DRK LKW BW KJ TJ>MJNW W KJ TFM>JLW
514,222375,BW>[,MT,Isaiah,30,29,BW>,H CJR JHJH LKM K LJL HTQDC XG W FMXT LBB K HWLK B XLJL L BW> B HR JHWH >L YWR JFR>L,,qal,infc,L BW> B HR JHWH >L YWR JFR>L,,>L YWR JFR>L,>L YWR/ JFR>L/,the rock of Israel,0.0,prep,place,inanim,det,subs,complex,factive,goal,>L,,,,,
517,1905586,BW>[,1Qisaa,Isaiah,30,29,BW>,H CJR W HJH LKMH K LJL HTQDJCW XG W FMXT LBB K HWLK B XLJL L BW> B HR JHWH >L YWR JFR>L,0 000 0 000 0000 0 000 0000000 00 0 0000 000 0 0000 0 0000 0 000 0 00 0000 00 000 00000,qal,infc,L BW> B HR JHWH >L YWR JFR>L,,>L YWR JFR>L,>L YWR/ JFR>L/,the rock of Israel,0.0,prep,place,inanim,det,subs,complex,factive,goal,>L,,,,,H CJR W HJH LKMH K LJL HTQDJCW XG W FMXT LBB K HWLK B XLJL L BW> B HR JHWH >L YWR JFR>L
520,222463,JRD[,MT,Isaiah,31,1,JRDJM,HWJ H JRDJM MYRJM L <ZRH <L SWSJM JC<NW W JBVXW <L RKB KJ RB W <L PRCJM KJ <YMW M>D W L> C<W <L QDWC JFR>L W >T JHWH L> DRCW,,qal,ptca,H JRDJM MYRJM L <ZRH,,MYRJM,MYRJM/,to Egypt,0.0,vc,topo,inanim,det,nmpr,simple,factive,goal,,,,,,
521,1905679,JRD[,1Qisaa,Isaiah,31,1,JWRDJM,HWJ H JWRDJM L MYRJM L <ZRH <L SWSJM JC<NW W JBVXW <L H RKB KJ RB W <L PRCJM KJ <YMW M>DH W LW> C<W >L QDWC JFR>L W >T JHWH LW> DRCW,000 0 000000 0 00000 0 0000 00 00000 00000 0 00000 00 0 000 00 00 0 00 00000 00 0000 0000 0 000 000 00 0000 00000 0 00 0000 000 0000,qal,ptca,H JWRDJM L MYRJM L <ZRH,,MYRJM,MYRJM/,to Egypt,0.0,vc,topo,inanim,det,nmpr,simple,factive,goal,,,,,,HWJ H JWRDJM L MYRJM L <ZRH <L SWSJM JC<NW W JBVXW <L H RKB KJ RB W <L PRCJM KJ <YMW M>DH W LW> C<W >L QDWC JFR>L W >T JHWH LW> DRCW
548,222995,CQQ[,MT,Isaiah,33,4,CWQQ,W >SP CLLKM >SP H XSJL K MCQ GBJM CWQQ BW,,qal,ptca,K MCQ GBJM CWQQ BW,,BW,B,in/on it/him,0.0,prep,prps,anim,det,prsf,simple,factive,goal,B,,,,,
549,1906247,CQQ[,1Qisaa,Isaiah,33,4,CQQ,W >SP CLLKM >SP H XSJL MCQ GBJM CQQ BW,0 000 00000 000 0 0000 000 0000 000 00,qal,ptca,MCQ GBJM CQQ BW,,BW,B,in/on it/him,0.0,prep,prps,anim,det,prsf,simple,factive,goal,B,,,,,W >SP CLLKM >SP H XSJL MCQ GBJM CQQ BW
