verb_id,lex,scroll,book_canonical,text_unit,chapter,verse_num,gcons_verb,gcons_verse,sign_info,stem,tense,gcons_clause,subject,complement,cmpl_lex,cmpl_translation,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,cmpl_complex,motion_type,spatial_arg_type,preposition_1,preposition_2,preposition_3,preposition_4,preposition_5,preposition_6,comments,reconstructed_verse,Study_Edition,verse_genre,verse_language,era_style
371781,QRB[,MT,Daniel,Daniel,3,8,QRBW,K L QBL DNH BH ZMN> QRBW GBRJN KFD>JN W >KLW QRYJHWN DJ JHWDJ>,,peal,perf,K L QBL DNH BH ZMN> QRBW GBRJN KFD>JN,GBRJN KFD>JN,no complement,no complement,,,,,,,,,,,,,,,,,,,,prose,Aramaic,LBH
371820,NPL[,MT,Daniel,Daniel,3,10,JPL,>NTH MLK> FMT V<M DJ KL >NC DJ JCM< QL QRN> MCRQJT> QJTRS FBK> PSNTRJN W SJPNJH W KL ZNJ ZMR> JPL W JSGD L YLM DHB>,,peal,impf,DJ KL >NC JPL,KL >NC,no complement,no complement,,,,,,,,,,,,,,,,,,,,prose,Aramaic,LBH
371830,NPL[,MT,Daniel,Daniel,3,11,JPL,W MN DJ L> JPL W JSGD JTRM> L GW> >TWN NWR> JQDT>,,peal,impf,DJ L> JPL,,no complement,no complement,,,,,,,,,,,,,,,,,,,,prose,Aramaic,LBH
371881,>TH[,MT,Daniel,Daniel,3,13,HJTJH,B >DJN NBWKDNYR B RGZ W XMH >MR L HJTJH L CDRK MJCK W <BD_NGW B >DJN GBRJ> >LK HJTJW QDM MLK>,,haf,infc,L HJTJH L CDRK MJCK W <BD_NGW,,L CDRK MJCK W <BD_NGW,L CDRK/ MJCK/ W <BD_NGW/,"Shadrach, Meshach, and Abednego",0.0,prep,person,anim,det,nmpr,complex,factive,other,L,,,,,,,,,prose,Aramaic,LBH
371891,>TH[,MT,Daniel,Daniel,3,13,HJTJW,B >DJN NBWKDNYR B RGZ W XMH >MR L HJTJH L CDRK MJCK W <BD_NGW B >DJN GBRJ> >LK HJTJW QDM MLK>,,hof,perf,B >DJN GBRJ> >LK HJTJW QDM MLK>,GBRJ> >LK,QDM MLK>,QDM/ MLK/,before the king,0.0,prep,person,anim,det,subs,simple,factive,goal,QDM/,,,,,,,,,prose,Aramaic,LBH
371939,NPL[,MT,Daniel,Daniel,3,15,TPLWN,K<N HN >JTJKWN <TJDJN DJ B <DN> DJ TCM<WN QL QRN> MCRWQJT> QJTRS FBK> PSNTRJN W SWMPNJH W KL ZNJ ZMR> TPLWN W TSGDWN L YLM> DJ <BDT W HN L> TSGDWN BH C<TH TTRMWN L GW> >TWN NWR> JQDT> W MN HW> >LH DJ JCJZBNKWN MN JDJ,,peal,impf,DJ B <DN> TPLWN,,no complement,no complement,,,,,,,,,,,,,,,,,,,,prose,Aramaic,LBH
372108,SLQ[,MT,Daniel,Daniel,3,22,HSQW,K L QBL DNH MN DJ MLT MLK> MXYPH W >TWN> >ZH JTJR> GBRJ> >LK DJ HSQW L CDRK MJCK W <BD_NGW QVL HMWN CBJB> DJ NWR>,,haf,perf,DJ HSQW L CDRK MJCK W <BD_NGW,,L CDRK MJCK W <BD_NGW,L CDRK/ MJCK/ W <BD_NGW/,"Shadrach, Meshach, and Abednego",0.0,prep,person,anim,det,nmpr,complex,factive,other,L,,,,,,,,,prose,Aramaic,LBH
372127,NPL[,MT,Daniel,Daniel,3,23,NPLW,W GBRJ> >LK TLTHWN CDRK MJCK W <BD_NGW NPLW L GW> >TWN NWR> JQDT> MKPTJN,,peal,perf,W GBRJ> >LK TLTHWN CDRK MJCK W <BD_NGW NPLW L GW> >TWN NWR> JQDT>,GBRJ> >LK TLTHWN CDRK MJCK W <BD_NGW,L GW> >TWN NWR> JQDT>,L GW>/ >TWN/ NWR/ JQD[,in the midst of a furnace of burning fire,0.0,prep,place,inanim,det,subs,complex,vertical,goal,L,,,,,,,,,prose,Aramaic,LBH
2061549,NPL[,4Q115,Daniel,Daniel,3,23,NPLW,MJCK W <BD NGW NPLW L GW >TWN NWR > JQDT > MKPTJN,0000 0 000 000 0000 0 00 1111 111 1 1111 1 111111,peal,perf,None,None,,,,,,,,,,,,,,,,,,,reconstructed,MJCK W <BD NGW NPLW L GW [>TWN NWR > JQDT > MKPTJN],,prose,Aramaic,LBH
1929625,NPL[,1Q72,Daniel,Daniel,3,23,NPLW,W GBRJ > >LK TLTHWN CDRK MJCK W <BD NGW NPLW L GW> >TWN NWR > JQDT > MKPTJN,1 1111 1 111 111111 1111 1111 1 111 111 1111 1 111 1111 111 1 1111 1 000000,peal,perf,None,None,,,,,,,,,,,,,,,,,,,reconstructed,[W GBRJ > >LK TLTHWN CDRK MJCK W <BD NGW NPLW L GW> >TWN NWR > JQDT >] MKPTJN,,prose,Aramaic,LBH
1929678,HLK[,1Q72,Daniel,Daniel,3,25,MHLKJN,<NH W >MR H> >NH XZH GBRJN >RB<H CRJN MHLKJN B GW> NWR > W XBL L> >JTJ BHWN W RWH DJ RBJ<J > DM> L BR >LHJN,111 1 111 11 111 000 00000 00000 0001 111111 1 111 111 1 1 111 11 1111 1111 1 111 00 00001 1 100 0 00 00011,pael,ptca,None,None,,,,,,,,,,,,,,,,,,,reconstructed,[<NH W >MR H> >NH] XZH GBRJN >RB<H CRJ[N MHLKJN B GW> NWR > W XBL L> >JTJ BHWN W RWH] DJ RBJ<[J > D]M> L BR >LH[JN],,prose,Aramaic,LBH
372191,QRB[,MT,Daniel,Daniel,3,26,QRB,B >DJN QRB NBWKDNYR L TR< >TWN NWR> JQDT> <NH W >MR CDRK MJCK W <BD_NGW <BDWHJ DJ >LH> <LJ> PQW W >TW B >DJN NPQJN CDRK MJCK W <BD_NGW MN GW> NWR>,,peal,perf,B >DJN QRB NBWKDNYR L TR< >TWN NWR> JQDT>,NBWKDNYR,L TR< >TWN NWR> JQDT>,L TR</ >TWN/ NWR/ JQD[,to the door of the furnace of burning fire,0.0,prep,place,inanim,det,subs,complex,factive,goal,L,,,,,,,,,prose,Aramaic,LBH
372211,>TH[,MT,Daniel,Daniel,3,26,>TW,B >DJN QRB NBWKDNYR L TR< >TWN NWR> JQDT> <NH W >MR CDRK MJCK W <BD_NGW <BDWHJ DJ >LH> <LJ> PQW W >TW B >DJN NPQJN CDRK MJCK W <BD_NGW MN GW> NWR>,,peal,impv,W >TW,,no complement,no complement,,,,,,,,,,,,,,,,,,,,prose,Aramaic,LBH
1929700,QRB[,1Q72,Daniel,Daniel,3,26,QRB,B >DJN QRB NBWKDNYR L TR< >TWN NWR > JQDT > <NH W >MR CDRK MJCK W <BD NGW <BDWHJ DJ >LH > <LJ > PQW W >TW B >DJN NPQJN CDRK MJCK W <BD NGW MN GW> NWR >,1 1111 111 11111111 1 111 1111 111 1 1111 1 111 0 000 0010 0001 1 111 111 111111 11 111 1 111 1 111 1 111 0 0000 00000 0001 1111 1 111 111 11 111 111 1,peal,perf,None,None,,,,,,,,,,,,,,,,,,,reconstructed,[B >DJN QRB NBWKDNYR L TR< >TWN NWR > JQDT > <NH] W >MR CD[R]K MJC[K W <BD NGW <BDWHJ DJ >LH > <LJ > PQW W >TW] B >DJN NPQJN CDR[K MJCK W <BD NGW MN GW> NWR >],,prose,Aramaic,LBH
1929725,>TH[,1Q72,Daniel,Daniel,3,26,>TW,B >DJN QRB NBWKDNYR L TR< >TWN NWR > JQDT > <NH W >MR CDRK MJCK W <BD NGW <BDWHJ DJ >LH > <LJ > PQW W >TW B >DJN NPQJN CDRK MJCK W <BD NGW MN GW> NWR >,1 1111 111 11111111 1 111 1111 111 1 1111 1 111 0 000 0010 0001 1 111 111 111111 11 111 1 111 1 111 1 111 0 0000 00000 0001 1111 1 111 111 11 111 111 1,peal,impv,None,None,,,,,,,,,,,,,,,,,,,reconstructed,[B >DJN QRB NBWKDNYR L TR< >TWN NWR > JQDT > <NH] W >MR CD[R]K MJC[K W <BD NGW <BDWHJ DJ >LH > <LJ > PQW W >TW] B >DJN NPQJN CDR[K MJCK W <BD NGW MN GW> NWR >],,prose,Aramaic,LBH
372630,XLP[,MT,Daniel,Daniel,4,13,JXLPWN,LBBH MN >NWC> JCNWN W LBB XJWH JTJHB LH W CB<H <DNJN JXLPWN <LWHJ,,peal,impf,W CB<H <DNJN JXLPWN <LWHJ,CB<H <DNJN,<LWHJ,<L,to him / it,0.0,prep,person,anim,det,prsf,simple,fictive,recipient,<L,,,,,,,,,prose,Aramaic,LBH
2061746,XLP[,4Q115,Daniel,Daniel,4,13,JXLPWN,LBBH MN >NWC > JCNWN W LBB XJWT > JTJHB LH W CB<H <DNJN JXLPWN <LWHJ,0011 11 1111 1 10000 0 000 0000 0 00000 00 0 0100 00111 000111 11111,peal,impf,None,None,,,,,,,,,,,,,,,,,,,reconstructed,LB[BH MN >NWC > J]CNWN W LBB XJWT > JTJHB LH W C[B]<H <D[NJN] JXL[PWN <LWHJ],,prose,Aramaic,LBH
372831,XLP[,MT,Daniel,Daniel,4,20,JXLPWN,W DJ XZH MLK> <JR W QDJC NXT MN CMJ> W >MR GDW >JLN> W XBLWHJ BRM <QR CRCWHJ B >R<> CBQW W B >SWR DJ PRZL W NXC B DT>> DJ BR> W B VL CMJ> JYVB< W <M XJWT BR> XLQH <D DJ CB<H <DNJN JXLPWN <LWHJ,,peal,impf,<D DJ CB<H <DNJN JXLPWN <LWHJ,CB<H <DNJN,<LWHJ,<L,to him / it,0.0,prep,person,anim,det,prsf,simple,fictive,trajectory,<L,,,,,,,,,prose,Aramaic,LBH
372871,XLP[,MT,Daniel,Daniel,4,22,JXLPWN,W LK VRDJN MN >NC> W <M XJWT BR> LHWH MDRK W <FB> K TWRJN LK JV<MWN W M VL CMJ> LK MYB<JN W CB<H <DNJN JXLPWN <LJK <D DJ TND< DJ CLJV <LJ> B MLKWT >NC> W L MN DJ JYB> JTNNH,,peal,impf,W CB<H <DNJN JXLPWN <LJK,CB<H <DNJN,<LJK,<L,upon you,0.0,prep,person,anim,det,prsf,simple,fictive,trajectory,<L,,,,,,,,,prose,Aramaic,LBH
373000,XLP[,MT,Daniel,Daniel,4,29,JXLPWN,W MN >NC> LK VRDJN W <M XJWT BR> MDRK <FB> K TWRJN LK JV<MWN W CB<H <DNJN JXLPWN <LJK <D DJ TND< DJ CLJV <LJ> B MLKWT >NC> W L MN DJ JYB> JTNNH,,peal,impf,W CB<H <DNJN JXLPWN <LJK,CB<H <DNJN,<LJK,<L,upon you,0.0,prep,person,anim,det,prsf,simple,fictive,trajectory,<L,,,,,,,,,prose,Aramaic,LBH
373187,>TH[,MT,Daniel,Daniel,5,2,HJTJH,BLC>YR >MR B V<M XMR> L HJTJH L M>NJ DHB> W KSP> DJ HNPQ NBWKDNYR >BWHJ MN HJKL> DJ B JRWCLM W JCTWN BHWN MLK> W RBRBNWHJ CGLTH W LXNTH,,haf,infc,L HJTJH L M>NJ DHB> W KSP>,,L M>NJ DHB> W KSP>,L M>N/ DHB/ W KSP/,to the vessels of gold and silver,0.0,prep,object,inanim,det,subs,complex,factive,other,L,,,,,,,,,prose,Aramaic,LBH
373213,>TH[,MT,Daniel,Daniel,5,3,HJTJW,B >DJN HJTJW M>NJ DHB> DJ HNPQW MN HJKL> DJ BJT >LH> DJ B JRWCLM W >CTJW BHWN MLK> W RBRBNWHJ CGLTH W LXNTH,,haf,perf,B >DJN HJTJW M>NJ DHB>,,no complement,no complement,,,,,,,,,,,,,,,,,,,,prose,Aramaic,LBH
373718,>TH[,MT,Daniel,Daniel,5,23,HJTJW,W <L MR> CMJ> HTRWMMT W L M>NJ> DJ BJTH HJTJW QDMJK W >NTH W RBRBNJK CGLTK W LXNTK XMR> CTJN BHWN W L >LHJ KSP> W DHB> NXC> PRZL> ><> W >BN> DJ L> XZJN W L> CM<JN W L> JD<JN CBXT W L >LH> DJ NCMTK B JDH W KL >RXTK LH L> HDRT,,haf,perf,W L M>NJ> DJ BJTH HJTJW QDMJK,,L M>NJ> DJ BJTH,L M>N/ DJ BJT/,the vessels of his house/temple,0.0,prep,object,inanim,det,subs,complex,factive,other,L,,,,,,,,,prose,Aramaic,LBH
373718,>TH[,MT,Daniel,Daniel,5,23,HJTJW,W <L MR> CMJ> HTRWMMT W L M>NJ> DJ BJTH HJTJW QDMJK W >NTH W RBRBNJK CGLTK W LXNTK XMR> CTJN BHWN W L >LHJ KSP> W DHB> NXC> PRZL> ><> W >BN> DJ L> XZJN W L> CM<JN W L> JD<JN CBXT W L >LH> DJ NCMTK B JDH W KL >RXTK LH L> HDRT,,haf,perf,W L M>NJ> DJ BJTH HJTJW QDMJK,,QDMJK,QDM/,before you,0.0,prep,person,anim,det,subs,simple,factive,goal,,,,,,,,,,prose,Aramaic,LBH
374112,QRB[,MT,Daniel,Daniel,6,13,QRJBW,B >DJN QRJBW W >MRJN QDM MLK> <L >SR MLK> H L> >SR RCMT DJ KL >NC DJ JB<H MN KL >LH W >NC <D JWMJN TLTJN LHN MNK MLK> JTRM> L GWB >RJWT> <NH MLK> W >MR JYJB> MLT> K DT MDJ W PRS DJ L> T<D>,,peal,perf,B >DJN QRJBW,,no complement,no complement,,,,,,,,,,,,,,,,,,,,prose,Aramaic,LBH
2060081,QRB[,4Q113,Daniel,Daniel,6,13,QRJBW,B >DJN QRJBW W >MRJN QDM MLK > <L >SR > MLK > H L> >SR RCMT DJ KL >NC DJ JB<W MN KWL >LH W >NC <D JWMJN TLTJN LHN MNK MLK > JTRM> L GWB >RJWT > <NH MLK > W >MR JYJB> MLT > K DT MDJ W PRS DJ L> T<D>,1 1111 11111 1 11111 111 111 1 00 000 0 111 1 1 11 111 1111 11 11 111 11 1000 00 000 011 1 111 11 11111 11111 111 111 111 1 11111 1 111 11111 1 111 111 1 1 111 11111 111 1 1 10 001 1 111 11 11 1111,peal,perf,None,None,,,,,,,,,,,,,,,,,,,reconstructed,[B >DJN QRJBW W >MRJN QDM MLK >] <L >SR > [MLK > H L> >SR RCMT DJ KL >NC DJ J]B<W MN KWL >[LH W >NC <D JWMJN TLTJN LHN MNK MLK > JTRM> L GWB >RJWT > <NH MLK > W >MR JYJB> MLT > K D]T MD[J W PRS DJ L> T<D>],,prose,Aramaic,LBH
374249,>TH[,MT,Daniel,Daniel,6,17,HJTJW,B >DJN MLK> >MR W HJTJW L DNJ>L W RMW L GB> DJ >RJWT> <NH MLK> W >MR L DNJ>L >LHK DJ >NTH PLX LH B TDJR> HW> JCJZBNK,,haf,perf,W HJTJW L DNJ>L,,L DNJ>L,L DNJ>L/,to Daniel,0.0,prep,person,anim,det,nmpr,simple,factive,other,L,,,,,,,,,prose,Aramaic,LBH
374274,>TH[,MT,Daniel,Daniel,6,18,HJTJT,W HJTJT >BN XDH W FMT <L PM GB> W XTMH MLK> B <ZQTH W B <ZQT RBRBNWHJ DJ L> TCN> YBW B DNJ>L,,hof,perf,W HJTJT >BN XDH,>BN XDH,no complement,no complement,,,,,,,,,,,,,,,,,,,,prose,Aramaic,LBH
374332,QRB[,MT,Daniel,Daniel,6,21,MQRBH,W K MQRBH L GB> L DNJ>L B QL <YJB Z<Q <NH MLK> W >MR L DNJ>L DNJ>L <BD >LH> XJ> >LHK DJ >NTH PLX LH B TDJR> H JKL L CJZBWTK MN >RJWT>,,peal,infc,K MQRBH L GB>,,L GB>,L GB=/,to the den,0.0,prep,place,inanim,det,subs,simple,factive,goal,L,,,,,,,,,prose,Aramaic,LBH
2060346,QRB[,4Q113,Daniel,Daniel,6,21,MQRBH,W K MQRBH L GB > L DNJ>L B QL <YJB Z<Q <NH MLK > W >MR L DNJ>L DNJ>L <BD >LH > XJ H >LHKH DJ >NTH PLX LH B TDJR > H JKL L CJZBWTK MN >RJWT >,0 0 00111 1 11 1 0 00000 0 00 0000 000 000 000 0 0 000 0 11111 11111 111 111 1 11 0 00000 00 0000 011 11 1 1111 1 1 111 1 1111111 11 00001 1,peal,infc,None,None,,,,,,,,,,,,,,,,,,,reconstructed,W K MQ[RBH L GB >] L DNJ>L B QL <YJB Z<Q <NH MLK > W >MR L [DNJ>L DNJ>L <BD >LH > XJ] H >LHKH DJ >NTH P[LX LH B TDJR > H JKL L CJZBWTK MN] >RJW[T >],,prose,Aramaic,LBH
374431,>TH[,MT,Daniel,Daniel,6,25,HJTJW,W >MR MLK> W HJTJW GBRJ> >LK DJ >KLW QRYWHJ DJ DNJ>L W L GB >RJWT> RMW >NWN BNJHWN W NCJHWN W L> MVW L >R<JT GB> <D DJ CLVW BHWN >RJWT> W KL GRMJHWN HDQW,,haf,perf,W HJTJW GBRJ> >LK,,no complement,no complement,,,,,,,,,,,,,,,,,,,,prose,Aramaic,LBH
2060509,SLQ[,4Q113,Daniel,Daniel,7,3,SLQN,W >RB< XJWN RBRBN SLQN MN JM > CNJN D> MN D>,1 0011 1111 11111 1111 11 11 1 1000 00 00 10,peal,ptca,None,None,,,,,,,,,,,,,,,,,,,reconstructed,[W] >R[B< XJWN RBRBN SLQN MN JM > C]NJN D> MN [D]>,,prose,Aramaic,LBH
374735,SLQ[,MT,Daniel,Daniel,7,8,SLQT,MFTKL HWJT B QRNJ> W >LW QRN >XRJ Z<JRH SLQT BJNJHWN W TLT MN QRNJ> QDMJT> >T<QRW MN QDMJH W >LW <JNJN K <JNJ >NC> B QRN> D> W PM MMLL RBRBN,,peal,perf,W >LW QRN >XRJ Z<JRH SLQT BJNJHWN,QRN >XRJ Z<JRH,BJNJHWN,BJN/,between them,0.0,prep,other,inanim,det,prsf,simple,factive,location,BJN/,,,,,,,,,prose,Aramaic,LBH
374868,QRB[,MT,Daniel,Daniel,7,13,HQRBWHJ,XZH HWJT B XZWJ LJLJ> W >RW <M <NNJ CMJ> K BR >NC >TH HWH W <D <TJQ JWMJ> MVH W QDMWHJ HQRBWHJ,,haf,perf,W QDMWHJ HQRBWHJ,,QDMWHJ,QDM/,before him,0.0,prep,person,anim,det,prsf,simple,posture/not motion,location,QDM/,,,,,,,,,prose,Aramaic,LBH
374907,QRB[,MT,Daniel,Daniel,7,16,QRBT,QRBT <L XD MN Q>MJ> W JYJB> >B<> MNH <L KL DNH W >MR LJ W PCR MLJ> JHWD<NNJ,,peal,perf,QRBT <L XD MN Q>MJ>,,<L XD MN Q>MJ>,<L XD/ MN QWM[,to one of the standing ones,0.0,prep,person,anim,und,subs,complex,factive,goal,<L,,,,,,,,,prose,Aramaic,LBH
2061842,QRB[,4Q115,Daniel,Daniel,7,16,QRBT,QRBT <L XD MN Q>MJ > W JYJB> >B<> MNH <L KL DNH W >MR LJ W PCR MLJ > JHWD<NNJ,1111 00 00 00 0000 0 1 11111 1111 111 11 11 111 1 000 00 0 000 111 1 11111111,peal,perf,[QRBT] <L XD MN Q>MJ >,,<L XD MN Q>MJ >,<L XD/ MN QWM[,to one of the standing ones,0.0,prep,person,anim,und,subs,complex,factive,goal,<L,,,,,,verb rec,[QRBT] <L XD MN Q>MJ > [W JYJB> >B<> MNH <L KL DNH W] >MR LJ W PCR [MLJ > JHWD<NNJ],,prose,Aramaic,LBH
374989,SLQ[,MT,Daniel,Daniel,7,20,SLQT,W <L QRNJ> <FR DJ B R>CH W >XRJ DJ SLQT W NPLW MN QDMJH TLT W QRN> DKN W <JNJN LH W PM MMLL RBRBN W XZWH RB MN XBRTH,,peal,perf,DJ SLQT,,no complement,no complement,,,,,,,,,,,,,,,,,,,,prose,Aramaic,LBH
2061941,SLQ[,4Q115,Daniel,Daniel,7,20,SLQT,W <L QRNJ > <FR J B R>CH W >XRJ DJ SLQT W NPLW MN QDMJH TLT W QRN > DKN W <JNJN LH W PM MMLL RBRBN RB MN XBRTH,1 11 1111 1 111 1 1 1111 1 1111 11 1111 1 1111 11 11111 111 1 111 1 111 1 11111 11 1 11 1111 11110 11 11 11111,peal,perf,[DJ SLQT],None,,,,,,,,,,,,,,,,,,,reconstructed,[W <L QRNJ > <FR J B R>CH W >XRJ DJ SLQT W NPLW MN QDMJH TLT W QRN > DKN W <JNJN LH W PM MMLL RBRB]N [RB MN XBRTH],,prose,Aramaic,LBH
2061943,NPL[,4Q115,Daniel,Daniel,7,20,NPLW,W <L QRNJ > <FR J B R>CH W >XRJ DJ SLQT W NPLW MN QDMJH TLT W QRN > DKN W <JNJN LH W PM MMLL RBRBN RB MN XBRTH,1 11 1111 1 111 1 1 1111 1 1111 11 1111 1 1111 11 11111 111 1 111 1 111 1 11111 11 1 11 1111 11110 11 11 11111,peal,perf,None,None,,,,,,,,,,,,,,,,,,,reconstructed,[W <L QRNJ > <FR J B R>CH W >XRJ DJ SLQT W NPLW MN QDMJH TLT W QRN > DKN W <JNJN LH W PM MMLL RBRB]N [RB MN XBRTH],,prose,Aramaic,LBH
375024,>TH[,MT,Daniel,Daniel,7,22,>TH,<D DJ >TH <TJQ JWMJ> W DJN> JHB L QDJCJ <LJWNJN W ZMN> MVH W MLKWT> HXSNW QDJCJN,,peal,perf,<D DJ >TH <TJQ JWMJ>,<TJQ JWMJ>,no complement,no complement,,,,,,,,,,,,,,,,,,,,prose,Aramaic,LBH
2061980,>TH[,4Q115,Daniel,Daniel,7,22,>TH,<D DJ >TH <TJQ JWMJ > W DJN > JHB L QDJCJ <LJWNJN W ZMN > MVH W MLKWT > HXSNW QDJCJN,11 11 111 1111 1111 1 1 111 0 000 1 11111 1111111 1 111 1 111 1 11111 1 11111 110000,peal,perf,None,None,,,,,,,,,,,,,,,,,,,reconstructed,[<D DJ >TH <TJQ JWMJ > W DJN] > JHB [L QDJCJ <LJWNJN W ZMN > MVH W MLKWT > HXSNW QD]JCJN,,prose,Aramaic,LBH
2059361,GLH[,4Q112,Daniel,Daniel,8,1,NGLH,B CNT CLWC L MLKWT BL>CYR H MLK DBR NGLH XZWN NR>H >LJ >NJ DNJ>L >XRJ H NR>H >LJ B TXLH,1 111 1111 1 11111 111111 0 011 100 0000 0000 0000 000 000 00001 1111 1 1111 111 1 1111,nif,perf,[B CNT CLWC L MLKWT BL>CYR] H M[LK D]BR NGLH,,no complement,no complement,,,,,,,,,,,,,,,,,,[B CNT CLWC L MLKWT BL>CYR] H M[LK D]BR NGLH XZWN NR>H >LJ >NJ DNJ>[L >XRJ H NR>H >LJ B TXLH],,prose,Hebrew,LBH
2060734,<LH[,4Q113,Daniel,Daniel,8,3,<LH,W >F>H <JNJ W >R>H W HNH >JL >XD GDWL <WMD L PNJ H >BL W LW QRNJM QRNJM W H QRNJM GBHWT W H >XT GBHH MN H CNJT W H GBHH <LH B >XRWNH,0 0000 0000 1 1111 1 111 111 100 0000 0000 0 111 1 111 1 00 00000 01000 1 1 11111 11111 1 1 111 1100 00 0 0111 1 1 1100 000 0 000000,qal,ptca,[W H GB]HH <LH B >XRWNH,[H GB]HH,no complement,no complement,,,,,,,,,,,,,,,,,,W >F>H <JNJ [W >R>H W HNH >JL >]XD GDWL <WMD L [PNJ H >BL W] LW QRNJM Q[R]NJM [W H QRNJM GBHWT W H >XT GB]HH MN H C[NJT W H GB]HH <LH B >XRWNH,,prose,Hebrew,LBH
2059437,<LH[,4Q112,Daniel,Daniel,8,3,<LH,W >F> <JNJ W >R>H W HNH >JL >XD GDWL <MD L PNJ H >BL W LW QRNJM QRNJM W H QRNJM GBHWT W H >XT GBHH MN H CNJT W H GGBHH <LH B >XRNH,0 000 0000 1 1111 1 111 111 111 1100 000 0 000 0 000 0 00 00000 00000 1 1 11111 11111 1 1 110 0000 00 0 0000 0 0 00000 000 0 00000,qal,ptca,W H GGBHH <LH B >XRNH,H GGBHH,no complement,no complement,,,,,,,,,,,,,,,,,,W >F> <JNJ [W >R>H W HNH >JL >XD GD]WL <MD L PNJ H >BL W LW QRNJM QRNJM [W H QRNJM GBHWT W H >X]T GBHH MN H CNJT W H GGBHH <LH B >XRNH,,prose,Hebrew,LBH
2060776,BW>[,4Q113,Daniel,Daniel,8,5,B>,W >NJ HJJTJ MBJN W HNH YPJR H <ZJM B> MN H M<RB <L PNJ KL H >RY W >JN NWG< B >RY W H YPJR QRN XZWT BJN <JNJW,0 000 00010 1111 1 111 1111 1 1111 11 11 1 1111 11 111 11 0 000 0 111 1111 1 111 1 1 1111 111 1111 111 11111,qal,ptca,None,None,,,,,,,,,,,,,,,,,,,reconstructed,W >NJ HJJ[T]J [MBJN W HNH YPJR H <ZJM B> MN H M<RB <L PNJ KL] H >RY W [>JN NWG< B >RY W H YPJR QRN XZWT BJN <JNJW],,prose,Hebrew,LBH
2059481,BW>[,4Q112,Daniel,Daniel,8,5,B>,W >NJ HJJTJ MBJN W HNH YPJR H <ZJM B> MN H M<RB >L PNJ KL H >RY W >JN NG< B >RY,0 000 00000 1111 1 111 1111 1 1111 00 00 0 0000 00 000 00 0 000 0 000 000 0 000,qal,ptca,[W HNH YPJR H <ZJM] B> MN H M<RB >L PNJ KL H >RY,[YPJR H <ZJM],>L PNJ KL H >RY,>L PNH/ KL/ H >RY/,upon the face of the whole earth,0.0,prep,place,inanim,det,subs,complex,factive,trajectory,>L,,,,,,,W >NJ HJJTJ [MBJN W HNH YPJR H <ZJM] B> MN H M<RB >L PNJ KL H >RY W >JN NG< B >RY,,prose,Hebrew,LBH
375316,BW>[,MT,Daniel,Daniel,8,6,JB>,W JB> <D H >JL B<L H QRNJM >CR R>JTJ <MD L PNJ H >BL W JRY >LJW B XMT KXW,,qal,wayq,W JB> <D H >JL B<L H QRNJM,,<D H >JL B<L H QRNJM,<D H >JL=/ B<L/ H QRN/,to the ram owner of the two horns,0.0,prep,other,anim,det,subs,complex,factive,goal,<D,,,,,,,,,prose,Hebrew,LBH
375331,RWY[,MT,Daniel,Daniel,8,6,JRY,W JB> <D H >JL B<L H QRNJM >CR R>JTJ <MD L PNJ H >BL W JRY >LJW B XMT KXW,,qal,wayq,W JRY >LJW B XMT KXW,,>LJW,>L,to him / it,0.0,prep,person,anim,det,prsf,simple,factive,goal,>L,,,,,,,,,prose,Hebrew,LBH
2060799,BW>[,4Q113,Daniel,Daniel,8,6,JB>,W JB> <D H >JL B<L H QRNJM >CR R>JTJ <MD L PNJ H >BL W JRY >LJW B XMT KXW,1 111 11 1 000 000 0 00000 111 11111 111 1 111 1 111 1 111 1111 1 111 000,qal,wayq,[W JB> <D H] >JL B<L H QRNJM,,[<D H] >JL B<L H QRNJM,<D H >JL=/ B<L/ H QRN/,to the ram owner of the two horns,0.0,prep,other,anim,det,subs,complex,factive,goal,<D,,,,,,reconstructed,[W JB> <D H] >JL B<L H QRNJM [>CR R>JTJ <MD L PNJ H >BL W JRY >LJW B XMT] KXW,,prose,Hebrew,LBH
2060814,RWY[,4Q113,Daniel,Daniel,8,6,JRY,W JB> <D H >JL B<L H QRNJM >CR R>JTJ <MD L PNJ H >BL W JRY >LJW B XMT KXW,1 111 11 1 000 000 0 00000 111 11111 111 1 111 1 111 1 111 1111 1 111 000,qal,wayq,W JRY >LJW B XMT KXW,,>LJW,>L,to him / it,0.0,prep,person,anim,det,prsf,simple,factive,goal,>L,,,,,,reconstructed,[W JB> <D H] >JL B<L H QRNJM [>CR R>JTJ <MD L PNJ H >BL W JRY >LJW B XMT] KXW,,prose,Hebrew,LBH
375396,<LH[,MT,Daniel,Daniel,8,8,T<LNH,W YPJR H <ZJM HGDJL <D M>D W K <YMW NCBRH H QRN H GDWLH W T<LNH XZWT >RB< TXTJH L >RB< RWXWT H CMJM,,qal,wayq,W T<LNH XZWT >RB< TXTJH L >RB< RWXWT H CMJM,XZWT >RB<,TXTJH,TXT/,under itself / herself,0.0,prep,other,inanim,det,subs,simple,posture/not motion,other,TXT/,,,,,,,,,prose,Hebrew,LBH
