verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,sign_info,stem,tense,gcons_clause,subject,complement,cmpl_lex,cmpl_translation,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,cmpl_complex,motion_type,spatial_arg_type,preposition_1,preposition_2,preposition_3,preposition_4,preposition_5,preposition_6,comments,reconstructed_verse,Study_Edition
1980849,CWB[,4Q30,Deuteronomy,17,16,CWB,RQ L> JRBH LW SWSJM W L> JCJB >T H <M MYRJMH LM<N HRBWT SWS W JHWH >MR LKM L> TSPWN L CWB B DRK H ZH <WD,00 00 0000 00 00000 0 00 0000 00 0 00 000000 0000 00000 000 0 0000 000 000 00 00000 0 000 0 000 0 00 000,qal,infc,L CWB B DRK H ZH <WD,,B DRK H ZH,B H DRK/ H ZH,on that way,0,prep,place,inanim,det,subs,complex,factive,trajectory,B,,,,,,,RQ L> JRBH LW SWSJM W L> JCJB >T H <M MYRJMH LM<N HRBWT SWS W JHWH >MR LKM L> TSPWN L CWB B DRK H ZH <WD,
1892363,CWB[,1Q5,Deuteronomy,17,16,CWB,>T H <M MYRJMH LM<N HRBWT SWS W JHWH >MR LKM L> TSPWN L CWB B DRK H ZH <WD,00 0 00 000000 0000 00000 000 0 0000 000 000 00 00000 0 000 0 000 0 00 000,qal,infc,L CWB B DRK H ZH <WD,,B DRK H ZH,B H DRK/ H ZH,on that way,0,prep,place,inanim,det,subs,complex,factive,trajectory,B,,,,,,,>T H <M MYRJMH LM<N HRBWT SWS W JHWH >MR LKM L> TSPWN L CWB B DRK H ZH <WD,
103358,SWR[,MT,Deuteronomy,17,17,JSWR,W L> JRBH LW NCJM W L> JSWR LBBW W KSP W ZHB L> JRBH LW M>D,,qal,impf,W L> JSWR LBBW,LBBW,no complement,no complement,,,,,,,,,,,,,,,,,,,
1983451,SWR[,4Q33,Deuteronomy,17,17,JSWR,NCJM W L> JSWR LBBW W KSP W ZHB L> JRBH LW M>D,0000 0 00 0000 0000 0 000 0 000 00 0000 00 000,qal,impf,W L> JSWR LBBW,LBBW,no complement,no complement,,,,,,,,,,,,,,,,,,NCJM W L> JSWR LBBW W KSP W ZHB L> JRBH LW M>D,
103554,BW>[,MT,Deuteronomy,18,6,JB>,W KJ JB> H LWJ M >XD C<RJK M KL JFR>L >CR HW> GR CM W B> B KL >WT NPCW >L H MQWM >CR JBXR JHWH,,qal,impf,W KJ JB> H LWJ M >XD C<RJK M KL JFR>L,H LWJ,M >XD C<RJK M KL JFR>L,MN >XD/ C<R/ MN KL/ JFR>L/,from one of your gates from all Israel,0,prep + prep,place,inanim,det,subs,complex,factive,source,MN,MN,,,,,min excluded,,
103568,BW>[,MT,Deuteronomy,18,6,B>,W KJ JB> H LWJ M >XD C<RJK M KL JFR>L >CR HW> GR CM W B> B KL >WT NPCW >L H MQWM >CR JBXR JHWH,,qal,perf,W B> B KL >WT NPCW >L H MQWM,,>L H MQWM,>L H MQWM/,to the place,0,prep,place,inanim,det,subs,simple,factive,goal,>L,,,,,,,,
1983475,BW>[,4Q33,Deuteronomy,18,6,B>,>CR HW> GR CM W B> B KL >WT NPCW >L H MQWM >CR JBXR JHWH,000 000 00 00 0 00 0 00 000 0000 00 0 0000 000 0000 0000,qal,perf,W B> B KL >WT NPCW >L H MQWM,,>L H MQWM,>L H MQWM/,to the place,0,prep,place,inanim,det,subs,simple,factive,goal,>L,,,,,,,>CR HW> GR CM W B> B KL >WT NPCW >L H MQWM >CR JBXR JHWH,
103608,BW>[,MT,Deuteronomy,18,9,B>,KJ >TH B> >L H >RY >CR JHWH >LHJK NTN LK L> TLMD L <FWT K TW<BT H GWJM H HM,,qal,ptca,KJ >TH B> >L H >RY,>TH,>L H >RY,>L H >RY/,to the land,0,prep,place,inanim,det,subs,simple,factive,goal,>L,,,,,,,,
1983518,BW>[,4Q33,Deuteronomy,18,9,B>,KJ >TH B> >L H >RY >CR JHWH >LHJK NTN LK L> TLMD L <FWT K TW<BT H GWJM H HM,00 000 00 00 0 000 000 0000 00000 000 00 00 0000 0 0000 0 00000 0 0000 0 00,qal,ptca,KJ >TH B> >L H >RY,>TH,>L H >RY,>L H >RY/,to the land,0,prep,place,inanim,det,subs,simple,factive,goal,>L,,,,,,,KJ >TH B> >L H >RY >CR JHWH >LHJK NTN LK L> TLMD L <FWT K TW<BT H GWJM H HM,
103630,<BR[,MT,Deuteronomy,18,10,M<BJR,L> JMY> BK M<BJR BNW W BTW B >C QSM QSMJM M<WNN W MNXC W MKCP,,hif,ptca,M<BJR BNW W BTW B >C,,B >C,B H >C/,in/through the fire,0,prep,phenomenon,inanim,det,subs,simple,fictive,trajectory,B,,,,,,"make their son/daughter pass through fire, as a sacrifice, metaphorical?",,
1983541,<BR[,4Q33,Deuteronomy,18,10,M<BJR,L> JMY> BK M<BJR BNW W BTW B >C QSM QSMJM M<WNN W MNXC W MKCP,00 0000 00 00000 000 0 000 0 00 000 00000 00000 0 0000 0 0000 1,hif,ptca,M<BJR BNW W BTW B >C,,B >C,B H >C/,in/through the fire,0,prep,phenomenon,inanim,det,subs,simple,fictive,trajectory,B,,,,,,"make their son/daughter pass through fire, as a sacrifice, metaphorical?",L> JMY> BK M<BJR BNW W BTW B >C QSM QSMJM M<WNN W MNXC W MKCP,
103854,BW>[,MT,Deuteronomy,18,22,JBW>,>CR JDBR H NBJ> B CM JHWH W L> JHJH H DBR W L> JBW> HW> H DBR >CR L> DBRW JHWH B ZDWN DBRW H NBJ> L> TGWR MMNW,,qal,impf,W L> JBW>,,no complement,no complement,,,,,,,,,,,,,,,,,,,
1983648,BW>[,4Q33,Deuteronomy,18,22,JBW>,>CR JDBR H NBJ> B CM JHWH W L> JHJH H DBR W L> JBW> HW> H DBR >CR L> DBRW JHWH B ZDWN DBRW H NBJ>,000 0000 0 0000 0 00 0000 0 00 0000 0 000 0 00 0000 000 0 000 000 00 0000 0000 0 0000 0000 0 0000,qal,impf,W L> JBW>,,no complement,no complement,,,,,,,,,,,,,,,,,,>CR JDBR H NBJ> B CM JHWH W L> JHJH H DBR W L> JBW> HW> H DBR >CR L> DBRW JHWH B ZDWN DBRW H NBJ>,
103923,NWS[,MT,Deuteronomy,19,3,NWS,TKJN LK H DRK W CLCT >T GBWL >RYK >CR JNXJLK JHWH >LHJK W HJH L NWS CMH KL RYX,,qal,infc,L NWS CMH KL RYX,KL RYX,CMH,CM,there,1,dir-he,place,inanim,det,adv,simple,factive,goal,,,,,,,,,
1994002,NWS[,4Q45,Deuteronomy,19,3,NWS,TKJN LK H DRK W CLCT >T GBWL >RYK >CR JNXJLK JHWH >LHJK W HJH L NWS CMH KL RYX,0000 00 0 000 0 0000 00 0000 0000 000 000000 0000 00000 0 000 0 000 000 00 000,qal,infc,L NWS CMH KL RYX,KL RYX,CMH,CM,there,1,dir-he,place,inanim,det,adv,simple,factive,goal,,,,,,,,TKJN LK H DRK W CLCT >T GBWL >RYK >CR JNXJLK JHWH >LHJK W HJH L NWS CMH KL RYX,
103933,NWS[,MT,Deuteronomy,19,4,JNWS,W ZH DBR H RYX >CR JNWS CMH W XJ >CR JKH >T R<HW B BLJ D<T W HW> L> FN> LW M TML CLCM,,qal,impf,>CR JNWS CMH,,CMH,CM,there,1,dir-he,place,inanim,det,adv,simple,factive,goal,,,,,,,,,
103954,BW>[,MT,Deuteronomy,19,5,JB>,W >CR JB> >T R<HW B J<R L XVB <YJM W NDXH JDW B GRZN L KRT H <Y W NCL H BRZL MN H <Y W MY> >T R<HW W MT HW> JNWS >L >XT H <RJM H >LH W XJ,,qal,impf,W >CR JB> >T R<HW B J<R,,B J<R,B H J<R/,to the forest,0,prep,place,inanim,det,subs,simple,factive,goal,B,,,,,,,,
103987,NWS[,MT,Deuteronomy,19,5,JNWS,W >CR JB> >T R<HW B J<R L XVB <YJM W NDXH JDW B GRZN L KRT H <Y W NCL H BRZL MN H <Y W MY> >T R<HW W MT HW> JNWS >L >XT H <RJM H >LH W XJ,,qal,impf,HW> JNWS >L >XT H <RJM H >LH,HW>,>L >XT H <RJM H >LH,>L >XD/ H <JR/ H >LH,to one of these cities,0,prep,place,inanim,det,subs,complex,factive,goal,>L,,,,,,,,
104086,HLK[,MT,Deuteronomy,19,9,LKT,KJ TCMR >T KL H MYWH H Z>T L <FTH >CR >NKJ MYWK H JWM L >HBH >T JHWH >LHJK W L LKT B DRKJW KL H JMJM W JSPT LK <WD CLC <RJM <L H CLC H >LH,,qal,infc,W L LKT B DRKJW KL H JMJM,,B DRKJW,B DRK/,in his ways,0,prep,abstract,inanim,det,subs,complex,fictive,trajectory,B,,,,,,,,
1989450,HLK[,4Q38a,Deuteronomy,19,9,LKT,KJ TCMR >T KL H MYWH H Z>T L <FTH >CR >NWKJ MYWKMH H JWM L >HBH >T JHWH >LHJK W L LKT B DRKJW KL H JMJM W JSPT LK <WD CLWC <RJM <L H CLWC H >LH,00 0000 00 00 0 0000 0 000 0 0000 000 00000 000000 0 000 0 0000 00 0000 00000 0 0 000 0 00000 00 0 0000 0 0000 00 000 0000 0000 00 0 0000 0 000,qal,infc,W L LKT B DRKJW KL H JMJM,,B DRKJW,B DRK/,in his ways,0,prep,abstract,inanim,det,subs,complex,fictive,trajectory,B,,,,,,,KJ TCMR >T KL H MYWH H Z>T L <FTH >CR >NWKJ MYWKMH H JWM L >HBH >T JHWH >LHJK W L LKT B DRKJW KL H JMJM W JSPT LK <WD CLWC <RJM <L H CLWC H >LH,
104140,NWS[,MT,Deuteronomy,19,11,NS,W KJ JHJH >JC FN> L R<HW W >RB LW W QM <LJW W HKHW NPC W MT W NS >L >XT H <RJM H >L,,qal,perf,W NS >L >XT H <RJM H >L,,>L >XT H <RJM H >L,>L >XD/ H <JR/ H >L===,to one of these cities,0,prep,place,inanim,det,subs,complex,factive,goal,>L,,,,,,,,
1989506,NWS[,4Q38a,Deuteronomy,19,11,NS,KJ> JHJH >JC FN> L R<HW W >RB LW W QM <LJW W HKHW NPC W MT W NS >L >XT MN H <RJM H >LH,1 000 0000 000 000 0 0000 0 000 00 0 00 0000 0 0000 000 0 00 0 00 00 000 00 0 0000 0 000,qal,perf,W NS >L >XT MN H <RJM H >LH,None,>XT MN H <RJM H >LH,>L >XD/ H <JR/ H >L===,to one of these cities,0,prep,place,inanim,det,subs,complex,factive,goal,>L,,,,,,,[KJ]> JHJH >JC FN> L R<HW W >RB LW W QM <LJW W HKHW NPC W MT W NS >L >XT MN H <RJM H >LH,
93751,PNH[,MT,Deuteronomy,2,1,NPN,W NPN W NS< H MDBRH DRK JM SWP K >CR DBR JHWH >LJ W NSB >T HR F<JR JMJM RBJM,,qal,wayq,W NPN,,no complement,no complement,,,,,,,,,,,,,,,,,,,
93753,NS<[,MT,Deuteronomy,2,1,NS<,W NPN W NS< H MDBRH DRK JM SWP K >CR DBR JHWH >LJ W NSB >T HR F<JR JMJM RBJM,,qal,wayq,W NS< H MDBRH DRK JM SWP,,H MDBRH,H MDBR/,to the wilderness,1,dir-he,place,inanim,det,subs,simple,factive,goal,,,,,,,,,
93765,SBB[,MT,Deuteronomy,2,1,NSB,W NPN W NS< H MDBRH DRK JM SWP K >CR DBR JHWH >LJ W NSB >T HR F<JR JMJM RBJM,,qal,wayq,W NSB >T HR F<JR JMJM RBJM,,no complement,no complement,,,,,,,,,,,,,,,,,,,
1986452,NS<[,4Q35,Deuteronomy,2,1,NS<,W NPN W NS< H MDBRH DRK JM SWP K >CR DBR JHWH >LJ W NSB >T HR F<JR JMJM RBJM,0 000 0 000 0 00000 000 00 000 0 000 000 0000 000 0 000 00 00 0000 0000 0000,qal,wayq,W NS< H MDBRH DRK JM SWP,,H MDBRH,H MDBR/,to the wilderness,1,dir-he,place,inanim,det,subs,simple,factive,goal,,,,,,,,W NPN W NS< H MDBRH DRK JM SWP K >CR DBR JHWH >LJ W NSB >T HR F<JR JMJM RBJM,
93779,SBB[,MT,Deuteronomy,2,3,SB,RB LKM SB >T H HR H ZH PNW LKM YPNH,,qal,infc,SB >T H HR H ZH,,no complement,no complement,,,,,,,,,,,,,,,,,,,
93785,PNH[,MT,Deuteronomy,2,3,PNW,RB LKM SB >T H HR H ZH PNW LKM YPNH,,qal,impv,PNW LKM YPNH,,YPNH,YPWN/,toward the north,1,dir-he,direction,inanim,det,subs,simple,posture/not motion,goal,,,,,,,,,
1986486,PNH[,4Q35,Deuteronomy,2,3,PNW,RB LK SWB >T H HR H ZH PNW LKM YPWNH,00 00 000 00 0 00 0 00 000 000 00000,qal,impv,PNW LKM YPWNH,,YPWNH,YPWN/,towards north,1,dir-he,direction,inanim,det,subs,simple,posture/not motion,goal,,,,,,,,RB LK SWB >T H HR H ZH PNW LKM YPWNH,
93796,<BR[,MT,Deuteronomy,2,4,<BRJM,W >T H <M YW L >MR >TM <BRJM B GBWL >XJKM BNJ <FW H JCBJM B F<JR W JJR>W MKM W NCMRTM M>D,,qal,ptca,>TM <BRJM B GBWL >XJKM BNJ <FW,>TM,B GBWL >XJKM BNJ <FW,B GBWL/ >X/ BN/ <FW/,through the territory of your brothers the sons of Esau,0,prep,place,inanim,det,subs,complex,factive,trajectory,B,,,,,,,,
1986498,<BR[,4Q35,Deuteronomy,2,4,<BRJM,W >T H <M YW L >MR >TM <BRJM B GBWL >XJKM BNJ <FW H JCBJM B F<JR W JR>W MKM W NCMRTM M>D,0 00 0 00 00 0 000 000 00000 0 0000 00000 000 000 0 00000 0 0000 0 0000 000 0 000000 000,qal,ptca,>TM <BRJM B GBWL >XJKM BNJ <FW,>TM,B GBWL >XJKM BNJ <FW,B GBWL/ >X/ BN/ <FW/,through the territory of your brothers the sons of Esau,0,prep,place,inanim,det,subs,complex,factive,trajectory,B,,,,,,,W >T H <M YW L >MR >TM <BRJM B GBWL >XJKM BNJ <FW H JCBJM B F<JR W JR>W MKM W NCMRTM M>D,
93862,HLK[,MT,Deuteronomy,2,7,LKTK,KJ JHWH >LHJK BRKK B KL M<FH JDK JD< LKTK >T H MDBR H GDL H ZH ZH >RB<JM CNH JHWH >LHJK <MK L> XSRT DBR,,qal,infc,LKTK >T H MDBR H GDL H ZH ZH >RB<JM CNH,,no complement,no complement,,,,,,,,,,,,,,,,,,,
93880,<BR[,MT,Deuteronomy,2,8,N<BR,W N<BR M >T >XJNW BNJ <FW H JCBJM B F<JR M DRK H <RBH M >JLT W M <YJN_GBR W NPN W N<BR DRK MDBR MW>B,,qal,wayq,W N<BR M >T >XJNW BNJ <FW M DRK H <RBH M >JLT W M <YJN_GBR,,M >T >XJNW BNJ <FW,MN >T== >X/ BN/ <FW/,by from your brothers the sons of Esau,0,prep + prep,person,anim,det,subs,complex,factive,source,MN,>T==,,,,,min excluded,,
93880,<BR[,MT,Deuteronomy,2,8,N<BR,W N<BR M >T >XJNW BNJ <FW H JCBJM B F<JR M DRK H <RBH M >JLT W M <YJN_GBR W NPN W N<BR DRK MDBR MW>B,,qal,wayq,W N<BR M >T >XJNW BNJ <FW M DRK H <RBH M >JLT W M <YJN_GBR,,M DRK H <RBH M >JLT W M <YJN_GBR,MN DRK/ H <RBH/ MN >JLT/ W MN <YJWN_GBR/,from the way of the desert from Elath and Ezion-Geber,0,prep + prep + prep,place,inanim,det,subs,complex,factive,source,MN,MN,MN,,,,min excluded,,
93900,PNH[,MT,Deuteronomy,2,8,NPN,W N<BR M >T >XJNW BNJ <FW H JCBJM B F<JR M DRK H <RBH M >JLT W M <YJN_GBR W NPN W N<BR DRK MDBR MW>B,,qal,wayq,W NPN,,no complement,no complement,,,,,,,,,,,,,,,,,,,
93902,<BR[,MT,Deuteronomy,2,8,N<BR,W N<BR M >T >XJNW BNJ <FW H JCBJM B F<JR M DRK H <RBH M >JLT W M <YJN_GBR W NPN W N<BR DRK MDBR MW>B,,qal,wayq,W N<BR DRK MDBR MW>B,,DRK MDBR MW>B,DRK/ MDBR/ MW>B/,by the way of the wilderness of Moab,0,vc,place,inanim,det,subs,complex,factive,trajectory,,,,,,,,,
1991881,PNH[,4Q42,Deuteronomy,2,8,NPN,C W NPN W N<BR DRK MDBR MW>B,1 0 11 1 1 0 000 0 0000 000 0000 0000 1,qal,wayq,W NPN,,no complement,no complement,,,,,,,,,,,,,,,,,,[C] W [NPN W N]<BR DRK MDBR MW>B,
1991883,<BR[,4Q42,Deuteronomy,2,8,N<BR,C W NPN W N<BR DRK MDBR MW>B,1 0 11 1 1 0 000 0 0000 000 0000 0000 1,qal,wayq,W N<BR DRK MDBR MW>B,,DRK MDBR MW>B,DRK/ MDBR/ MW>B/,by the way of the wilderness of Moab,0,vc,place,inanim,det,subs,complex,factive,trajectory,,,,,,,,[C] W [NPN W N]<BR DRK MDBR MW>B,
93995,<BR[,MT,Deuteronomy,2,13,<BRW,<TH QMW W <BRW LKM >T NXL ZRD W N<BR >T NXL ZRD,,qal,impv,W <BRW LKM >T NXL ZRD,,no complement,no complement,,,,,,,,,,,,,,,,,,,
94001,<BR[,MT,Deuteronomy,2,13,N<BR,<TH QMW W <BRW LKM >T NXL ZRD W N<BR >T NXL ZRD,,qal,wayq,W N<BR >T NXL ZRD,,no complement,no complement,,,,,,,,,,,,,,,,,,,
94014,<BR[,MT,Deuteronomy,2,14,<BRNW,W H JMJM >CR HLKNW M QDC_BRN< <D >CR <BRNW >T NXL ZRD CLCJM W CMNH CNH <D TM KL H DWR >NCJ H MLXMH M QRB H MXNH K >CR NCB< JHWH LHM,,qal,perf,<D >CR <BRNW >T NXL ZRD,,no complement,no complement,,,,,,,,,,,,,,,,,,,
94075,<BR[,MT,Deuteronomy,2,18,<BR,>TH <BR H JWM >T GBWL MW>B >T <R,,qal,ptca,>TH <BR H JWM >T GBWL MW>B >T <R,>TH,no complement,no complement,,,,,,,,,,,,,,,,,,,
94084,QRB[,MT,Deuteronomy,2,19,QRBT,W QRBT MWL BNJ <MWN >L TYRM W >L TTGR BM KJ L> >TN M >RY BNJ <MWN LK JRCH KJ L BNJ LWV NTTJH JRCH,,qal,perf,W QRBT MWL BNJ <MWN,,MWL BNJ <MWN,MWL/ BN/ <MWN/,in front of the sons of Ammon,0,prep,gens,anim,det,subs,complex,factive,location,MWL/,,,,,,,,
94190,NS<[,MT,Deuteronomy,2,24,S<W,QWMW S<W W <BRW >T NXL >RNN R>H NTTJ B JDK >T SJXN MLK XCBWN H >MRJ W >T >RYW HXL RC W HTGR BW MLXMH,,qal,impv,S<W,,no complement,no complement,,,,,,,,,,,,,,,,,,,
94192,<BR[,MT,Deuteronomy,2,24,<BRW,QWMW S<W W <BRW >T NXL >RNN R>H NTTJ B JDK >T SJXN MLK XCBWN H >MRJ W >T >RYW HXL RC W HTGR BW MLXMH,,qal,impv,W <BRW >T NXL >RNN,,no complement,no complement,,,,,,,,,,,,,,,,,,,
94255,<BR[,MT,Deuteronomy,2,27,><BRH,><BRH B >RYK B DRK B DRK >LK L> >SWR JMJN W FM>WL,,qal,impf,><BRH B >RYK,,B >RYK,B >RY/,in your land,0,prep,place,inanim,det,subs,complex,factive,trajectory,B,,,,,,,,
94264,HLK[,MT,Deuteronomy,2,27,>LK,><BRH B >RYK B DRK B DRK >LK L> >SWR JMJN W FM>WL,,qal,impf,B DRK B DRK >LK,,B DRK B DRK,B H DRK/ B H DRK/,by the road only/strictly,0,prep + prep,place,inanim,det,subs,complex,factive,trajectory,B,B,,,,,,,
94266,SWR[,MT,Deuteronomy,2,27,>SWR,><BRH B >RYK B DRK B DRK >LK L> >SWR JMJN W FM>WL,,qal,impf,L> >SWR JMJN W FM>WL,,JMJN W FM>WL,JMJN/ W FM>L/,to the right or to the left,0,vc,direction,inanim,und,subs,complex,posture/not motion,goal,,,,,,,,,
1981899,<BR[,4Q31,Deuteronomy,2,27,><BRH,><BRH B >RYK B DRK B DRK >LK L> >SWR JMJN W FM>L,00000 0 0000 0 000 0 000 000 00 0000 0000 0 0000,qal,impf,><BRH B >RYK,,B >RYK,B >RY/,in your land,0,prep,place,inanim,det,subs,complex,factive,trajectory,B,,,,,,,><BRH B >RYK B DRK B DRK >LK L> >SWR JMJN W FM>L,
1981906,HLK[,4Q31,Deuteronomy,2,27,>LK,><BRH B >RYK B DRK B DRK >LK L> >SWR JMJN W FM>L,00000 0 0000 0 000 0 000 000 00 0000 0000 0 0000,qal,impf,B DRK B DRK >LK,,B DRK B DRK,B H DRK/ B H DRK/,by the road only/strictly,0,prep + prep,place,inanim,det,subs,complex,factive,trajectory,B,B,,,,,,><BRH B >RYK B DRK B DRK >LK L> >SWR JMJN W FM>L,
1981908,SWR[,4Q31,Deuteronomy,2,27,>SWR,><BRH B >RYK B DRK B DRK >LK L> >SWR JMJN W FM>L,00000 0 0000 0 000 0 000 000 00 0000 0000 0 0000,qal,impf,L> >SWR JMJN W FM>L,,JMJN W FM>L,JMJN/ W FM>L/,to the right or to the left,0,vc,direction,inanim,und,subs,complex,posture/not motion,goal,,,,,,,,><BRH B >RYK B DRK B DRK >LK L> >SWR JMJN W FM>L,
94287,<BR[,MT,Deuteronomy,2,28,><BRH,>KL B KSP TCBRNJ W >KLTJ W MJM B KSP TTN LJ W CTJTJ RQ ><BRH B RGLJ,,qal,impf,RQ ><BRH B RGLJ,,no complement,no complement,,,,,,,,,,,,,,,,,,,
1986556,<BR[,4Q35,Deuteronomy,2,28,><BRH,TCBJRNJ W >KLTJ W MJM B KSP TTN LJ W CTJTJ RQ ><BRH B RGLJ,0000000 0 00000 0 000 0 000 000 00 0 00000 00 00000 0 0000,qal,impf,RQ ><BRH B RGLJ,None,no complement,no complement,,,,,,,,,,,,,,,,,,TCBJRNJ W >KLTJ W MJM B KSP TTN LJ W CTJTJ RQ ><BRH B RGLJ,
1981928,<BR[,4Q31,Deuteronomy,2,28,><BRH,>KL B KSP TCBRNJ W >KLTJ W MJM B KSP TTN LJ W CTJTJ RQ ><BRH B RGLJ,000 0 000 000000 0 00000 0 000 0 000 000 00 0 00000 00 00000 0 0000,qal,impf,RQ ><BRH B RGLJ,,no complement,no complement,,,,,,,,,,,,,,,,,,>KL B KSP TCBRNJ W >KLTJ W MJM B KSP TTN LJ W CTJTJ RQ ><BRH B RGLJ,
2081734,<BR[,11Q3,Deuteronomy,2,28,><BRH,W MJM B KSP TTN LJ W CTJTJ RQ ><BRH B RGLJ,1 0 000 0 000 000 00 0 00000 00 00000 0 0000,qal,impf,RQ ><BRH B RGLJ,,no complement,no complement,,,,,,,,,,,,,,,,,,[W] MJM B KSP TTN LJ W CTJTJ RQ ><BRH B RGLJ,
94309,<BR[,MT,Deuteronomy,2,29,><BR,K >CR <FW LJ BNJ <FW H JCBJM B F<JR W H MW>BJM H JCBJM B <R <D >CR ><BR >T H JRDN >L H >RY >CR JHWH >LHJNW NTN LNW,,qal,impf,<D >CR ><BR >T H JRDN >L H >RY,,>L H >RY,>L H >RY/,to the land,0,prep,place,inanim,det,subs,simple,factive,goal,>L,,,,,,,,
1986579,<BR[,4Q35,Deuteronomy,2,29,><BR,K >CR <FW LJ BNJ <FW H JCBJM B F<JR W H MW>BJM H JWCBJM B <R <D >CR ><BR T H JRDN >L H >RY >CR JHWH >LHJNW NTN LNW,0 000 000 00 000 000 0 00000 0 0000 0 0 000000 0 000000 0 00 00 000 0000 10 0 0000 00 0 000 000 0000 000000 000 000,qal,impf,<D >CR ><BR T H JRDN >L H >RY,,>L H >RY,>L H >RY/,to the land,0,prep,place,inanim,det,subs,simple,factive,goal,>L,,,,,,,K >CR <FW LJ BNJ <FW H JCBJM B F<JR W H MW>BJM H JWCBJM B <R <D >CR ><BR [T] H JRDN >L H >RY >CR JHWH >LHJNW NTN LNW,
1981951,<BR[,4Q31,Deuteronomy,2,29,><BR,K >CR <FW LJ BNJ <FW H JCBJM B F<JR W H MW>BJM H JCBJM B <R <D >CR ><BR >T H JRDN >L H >RY >CR JHWH >LHJNW NTN LNW,0 000 000 00 000 000 0 00000 0 0000 0 0 000000 0 00000 0 00 00 000 0000 00 0 0000 00 0 000 000 0000 000000 000 000,qal,impf,<D >CR ><BR >T H JRDN >L H >RY,,>L H >RY,>L H >RY/,to the land,0,prep,place,inanim,det,subs,simple,factive,goal,>L,,,,,,,K >CR <FW LJ BNJ <FW H JCBJM B F<JR W H MW>BJM H JCBJM B <R <D >CR ><BR >T H JRDN >L H >RY >CR JHWH >LHJNW NTN LNW,
1979352,<BR[,4Q30,Deuteronomy,2,29,><BR,B <R <D >CR ><BR >T H JRDN >L H >RY >CR JHWH >LHJNW NTN LNW,0 00 00 000 0000 00 0 0000 00 0 000 000 0000 000000 000 000,qal,impf,<D >CR ><BR >T H JRDN >L H >RY,,>L H >RY,>L H >RY/,to the land,0,prep,place,inanim,det,subs,simple,factive,goal,>L,,,,,,,B <R <D >CR ><BR >T H JRDN >L H >RY >CR JHWH >LHJNW NTN LNW,
2081757,<BR[,11Q3,Deuteronomy,2,29,><BWR,K >CR <FW LJ BNJ <JFW H JWCBJM B F<JR W H MW>BJM H JWCBJM B <R <D >CR ><BWR >T H JRDN >L H >RY >CR JHWH >LWHJNW NWTN LNW,0 000 000 00 000 0000 0 000000 0 0000 0 0 000000 0 000000 0 00 00 000 00000 00 0 0000 00 0 000 000 0000 0000000 0000 000,qal,impf,<D >CR ><BWR >T H JRDN >L H >RY,,>L H >RY,>L H >RY/,to the land,0,prep,place,inanim,det,subs,simple,factive,goal,>L,,,,,,,K >CR <FW LJ BNJ <JFW H JWCBJM B F<JR W H MW>BJM H JWCBJM B <R <D >CR ><BWR >T H JRDN >L H >RY >CR JHWH >LWHJNW NWTN LNW,
94327,<BR[,MT,Deuteronomy,2,30,H<BRNW,W L> >BH SJXN MLK XCBWN H<BRNW BW KJ HQCH JHWH >LHJK >T RWXW W >MY >T LBBW LM<N TTW B JDK K JWM H ZH,,hif,infc,H<BRNW BW,,BW,B,through/in it,0,prep,place,inanim,det,prsf,simple,factive,trajectory,B,,,,,,,,
1986598,<BR[,4Q35,Deuteronomy,2,30,H<BRNW,W L> >BH SJXWN MLK XCBWN H<BRNW BW KJ HQCH JHWH,0 00 000 00000 000 00000 000000 00 00 0000 0000,hif,infc,H<BRNW BW,,BW,B,through/in it,0,prep,place,inanim,det,prsf,simple,factive,trajectory,B,,,,,,,W L> >BH SJXWN MLK XCBWN H<BRNW BW KJ HQCH JHWH,
1981970,<BR[,4Q31,Deuteronomy,2,30,H<BRNW,W L> >BH SJXN MLK XCBWN H<BRNW BW KJ HQCH JHWH >LHJK >T RWXW W >MY >T LBBW LM<N TTW B JDK K JWM H ZH,0 00 000 0000 000 00000 000000 00 00 0000 0000 00000 00 0000 0 000 00 0000 0000 000 0 000 0 000 0 00,hif,infc,H<BRNW BW,,BW,B,through/in it,0,prep,place,inanim,det,prsf,simple,factive,trajectory,B,,,,,,,W L> >BH SJXN MLK XCBWN H<BRNW BW KJ HQCH JHWH >LHJK >T RWXW W >MY >T LBBW LM<N TTW B JDK K JWM H ZH,
1979371,<BR[,4Q30,Deuteronomy,2,30,H<BRNW,W L> >BH SJXN MLK XCBWN H<BRNW BW KJ HQCH JHWH >LHJK >T RWXW W >MY >T LBBW LM<N,0 00 000 0000 000 00000 000000 00 00 0000 0000 00000 00 0000 0 000 00 0000 0000 1,hif,infc,H<BRNW BW,,BW,B,through/in it,0,prep,place,inanim,det,prsf,simple,factive,trajectory,B,,,,,,,W L> >BH SJXN MLK XCBWN H<BRNW BW KJ HQCH JHWH >LHJK >T RWXW W >MY >T LBBW LM<N,
